product_id,link_x,title_x,tag_x,audience_men,audience_women,audience_kids,link_y,title_y,tag_y,price,colors,page,color,img
VN000Z9RCJK,/en-us/p/shoes/super-lowpro-1984/premium-super-lowpro-trainer-shoe-VN000Z9RCJK,Premium Super Lowpro Trainer Shoe,"Lifestyle, Lightweight Cushioning, Vintage Trainer, Suede",False,True,False,/en-us/p/shoes/super-lowpro-1984/premium-super-lowpro-trainer-shoe-VN000Z9RCJK,Premium Super Lowpro Trainer Shoe,"Lifestyle, Lightweight Cushioning, Vintage Trainer, Suede",$95.00,2 colors,1,Black,"https://assets.vans.com/images/t_img/c_fill,g_center,f_auto,h_573,e_unsharp_mask:100,w_458/dpr_2.0/v1761693281/VN000Z9RCJK-HERO/Premium-Super-Lowpro-Trainer-Shoe.png"
VN000ED8CJK,/en-us/p/shoes/icons/sk8-hi-5325/mte-sk8-hi-insulated-shoe-VN000ED8CJK,Sk8-Hi Waterproof Insulated Shoe,"Multi-Terrain, Icon, Waterproof, Insulated, Cushioning",True,True,False,/en-us/p/shoes/icons/sk8-hi-5325/mte-sk8-hi-insulated-shoe-VN000ED8CJK,Sk8-Hi Waterproof Insulated Shoe,"Multi-Terrain, Icon, Waterproof, Insulated, Cushioning",$145.00,10 colors,1,Leopard Black,"https://assets.vans.com/images/t_img/c_fill,g_center,f_auto,h_573,e_unsharp_mask:100,w_458/dpr_2.0/v1758118288/VN000ED8CJK-HERO/Sk8Hi-Waterproof-Insulated-Shoe.png"
VN000Z9RDFO,/en-us/p/shoes/super-lowpro-1984/premium-super-lowpro-trainer-shoe-VN000Z9RDFO,Premium Super Lowpro Trainer Shoe,"Lifestyle, Lightweight Cushioning, Vintage Trainer, Suede",False,True,False,/en-us/p/shoes/super-lowpro-1984/premium-super-lowpro-trainer-shoe-VN000Z9RDFO,Premium Super Lowpro Trainer Shoe,"Lifestyle, Lightweight Cushioning, Vintage Trainer, Suede",$95.00,2 colors,1,Brown,"https://assets.vans.com/images/t_img/c_fill,g_center,f_auto,h_573,e_unsharp_mask:100,w_458/dpr_2.0/v1761762017/VN000Z9RDFO-HERO/Premium-Super-Lowpro-Trainer-Shoe.png"
VN000EACCJ7,/en-us/p/shoes/icons/classic-slip-on-5315/classic-slip-on-shoe-VN000EACCJ7,Classic Slip-On Shoe,"Lifestyle, Original Icon, Fleece-Lined, Easy-On",True,True,False,/en-us/p/shoes/icons/classic-slip-on-5315/classic-slip-on-shoe-VN000EACCJ7,Classic Slip-On Shoe,"Lifestyle, Original Icon, Fleece-Lined, Easy-On",$65.00,3 colors,1,Marshmallow White,"https://assets.vans.com/images/t_img/c_fill,g_center,f_auto,h_573,e_unsharp_mask:100,w_458/dpr_2.0/v1761349398/VN000EACCJ7-HERO/Classic-SlipOn-Shoe.psd"
VN000EACQ9U,/en-us/p/shoes/icons/classic-slip-on-5315/game-day-classic-slip-on-checkerboard-shoe-VN000EACQ9U,Game Day Classic Slip-On Checkerboard Shoe,"Lifestyle, Original Icon, Easy-On",True,True,False,/en-us/p/shoes/icons/classic-slip-on-5315/game-day-classic-slip-on-checkerboard-shoe-VN000EACQ9U,Game Day Classic Slip-On Checkerboard Shoe,"Lifestyle, Original Icon, Easy-On",$60.00,5 colors,1,Checkerboard Crimson Red / True White,"https://assets.vans.com/images/t_img/c_fill,g_center,f_auto,h_573,e_unsharp_mask:100,w_458/dpr_2.0/v1761344904/VN000EACQ9U-HERO/Game-Day-Classic-SlipOn-Checkerboard-Shoe.psd"
VN000E8BHBA,/en-us/p/shoes/ultrarange-5140/ultrarange-20-shoe-VN000E8BHBA,UltraRange 2.0 Shoe,"Multi-Terrain, Lightweight, Cushioning",False,True,False,/en-us/p/shoes/ultrarange-5140/ultrarange-20-shoe-VN000E8BHBA,UltraRange 2.0 Shoe,"Multi-Terrain, Lightweight, Cushioning",$100.00,15+ colors,1,Mushroom Brown / Sepia Rose Pink,"https://assets.vans.com/images/t_img/c_fill,g_center,f_auto,h_573,e_unsharp_mask:100,w_458/dpr_2.0/v1759840675/VN000E8BHBA-HERO/UltraRange-20-Shoe.png"
VN000EACBIX,/en-us/p/shoes/icons/classic-slip-on-5315/game-day-classic-slip-on-checkerboard-shoe-VN000EACBIX,Game Day Classic Slip-On Checkerboard Shoe,"Lifestyle, Original Icon, Easy-On",True,True,False,/en-us/p/shoes/icons/classic-slip-on-5315/game-day-classic-slip-on-checkerboard-shoe-VN000EACBIX,Game Day Classic Slip-On Checkerboard Shoe,"Lifestyle, Original Icon, Easy-On",$60.00,5 colors,1,Checkerboard Orange / True White,"https://assets.vans.com/images/t_img/c_fill,g_center,f_auto,h_573,e_unsharp_mask:100,w_458/dpr_2.0/v1761344820/VN000EACBIX-HERO/Game-Day-Classic-SlipOn-Checkerboard-Shoe.psd"
VN000E9TBP1,/en-us/p/shoes/icons/old-skool-5205/vans-x-space-molly-old-skool-shoe-VN000E9TBP1,VANS x SPACE MOLLY Old Skool Shoe,"Lifestyle, Collab, Icon",True,True,False,/en-us/p/shoes/icons/old-skool-5205/vans-x-space-molly-old-skool-shoe-VN000E9TBP1,VANS x SPACE MOLLY Old Skool Shoe,"Lifestyle, Collab, Icon",$110.00,3 colors,1,Space Molly Reflective Marshmallow White / Grey,"https://assets.vans.com/images/t_img/c_fill,g_center,f_auto,h_573,e_unsharp_mask:100,w_458/dpr_2.0/v1761348865/VN000E9TBP1-HERO/VANS-x-SPACE-MOLLY-Old-Skool-Shoe.psd"
VN000EE6H11,/en-us/p/shoes/knu-skool-5840/vans-x-space-molly-knu-skool-shoe-VN000EE6H11,VANS x SPACE MOLLY Knu Skool Shoe,"Lifestyle, Collab, Icon",True,True,False,/en-us/p/shoes/knu-skool-5840/vans-x-space-molly-knu-skool-shoe-VN000EE6H11,VANS x SPACE MOLLY Knu Skool Shoe,"Lifestyle, Collab, Icon",$105.00,3 colors,1,Space Molly Oatmeal Beige / Sepia Rose Pink,"https://assets.vans.com/images/t_img/c_fill,g_center,f_auto,h_573,e_unsharp_mask:100,w_458/dpr_2.0/v1761349647/VN000EE6H11-HERO/VANS-x-SPACE-MOLLY-Knu-Skool-Shoe.psd"
VN000D83EZP,/en-us/p/new-arrivals-5250/super-lowpro-shoe-VN000D83EZP,Super Lowpro Shoe,"Lifestyle, Vintage Trainer, Lightweight Cushioning",False,True,False,/en-us/p/new-arrivals-5250/super-lowpro-shoe-VN000D83EZP,Super Lowpro Shoe,"Lifestyle, Vintage Trainer, Lightweight Cushioning",$90.00,9 colors,1,Taupe Mist Beige / Sea Green,"https://assets.vans.com/images/t_img/c_fill,g_center,f_auto,h_573,e_unsharp_mask:100,w_458/dpr_2.0/v1759272711/VN000D83EZP-HERO/Super-Lowpro-Shoe.png"
VN000E9XBLA,/en-us/p/shoes/knu-skool-5840/knu-skool-shoe-VN000E9XBLA,Knu Skool Shoe,"Lifestyle, Retro Chunky, Leather",False,True,False,/en-us/p/shoes/knu-skool-5840/knu-skool-shoe-VN000E9XBLA,Knu Skool Shoe,"Lifestyle, Retro Chunky, Leather",$90.00,15+ colors,1,Black,"https://assets.vans.com/images/t_img/c_fill,g_center,f_auto,h_573,e_unsharp_mask:100,w_458/dpr_2.0/v1760662426/VN000E9XBLA-HERO/Knu-Skool-Shoe.png"
VN000DAABLK,/en-us/p/shoes/icons/old-skool-5205/aspen-old-skool-36-zip-VN000DAABLK,Premium Old Skool Zip Shoe,"Lifestyle, Icon, Waterproof, Suede, Easy-On, Cushioning",True,False,False,/en-us/p/shoes/icons/old-skool-5205/aspen-old-skool-36-zip-VN000DAABLK,Premium Old Skool Zip Shoe,"Lifestyle, Icon, Waterproof, Suede, Easy-On, Cushioning",$110.00,1 color,1,Black,"https://assets.vans.com/images/t_img/c_fill,g_center,f_auto,h_573,e_unsharp_mask:100,w_458/dpr_2.0/v1759840619/VN000DAABLK-HERO/Premium-Old-Skool-Zip-Shoe.png"
